num_matched_skills,num_missing_skills,certification_score,exp_years,study_score,total_jd_skills,resume_score_raw,score_percentage
6,5,4,12,2,11,6,58.802225868457086
0,8,4,8,0,8,0,0.0
3,14,0,3,2,17,3,13.964997962241181
4,15,2,9,1,19,4,23.950153586696636
6,9,1,4,1,15,6,37.26360081831239
6,6,0,8,0,12,6,43.85972990438188
12,5,1,7,1,17,12,82.45894401112064
3,6,5,15,1,9,3,31.77971201024736
6,5,1,2,1,11,6,51.41283363201182
10,4,2,0,1,14,10,60.46792114736154
2,5,5,2,0,7,2,32.82843903332271
5,6,1,15,0,11,5,40.51486622556275
11,4,5,3,2,15,11,73.47643613117246
1,14,1,1,1,15,1,11.509782448188773
9,3,2,0,2,12,9,70.13865726137965
8,1,1,6,0,9,8,89.28630114797657
4,4,1,15,0,8,4,57.618937050969045
5,7,1,7,0,12,5,29.382931382349277
11,1,0,6,0,12,11,87.61413743177056
3,4,0,13,0,7,3,38.3344334382075
3,7,0,15,0,10,3,29.065474387197956
9,0,2,4,0,9,9,99.76104561313231
6,0,5,11,1,6,6,94.69368683526704
11,1,4,0,2,12,11,88.39479993610158
6,10,1,6,0,16,6,33.633875147735885
0,18,1,12,1,18,0,0.0
0,10,2,6,1,10,0,1.0911136626554812
0,6,1,8,2,6,0,4.552820611855402
19,1,0,2,0,20,19,100.0
12,4,4,8,2,16,12,78.26817130667662
8,1,3,13,0,9,8,84.5190182914634
2,3,1,0,1,5,2,39.98352039836323
6,10,0,0,1,16,6,49.371647017461946
5,9,3,13,1,14,5,40.78694917772221
7,3,4,3,1,10,7,67.79747720563238
8,9,3,15,2,17,8,54.96901444423066
4,12,0,8,0,16,4,23.05965405101293
0,13,5,5,0,13,0,0.0
2,3,5,12,2,5,2,46.97865967964282
9,6,3,10,0,15,9,53.451753549940506
11,4,2,2,1,15,11,63.76444543199155
14,5,3,0,0,19,14,78.39063341661816
10,4,1,3,1,14,10,71.56702608665249
8,12,1,11,2,20,8,40.63682739268578
16,0,5,12,0,16,16,98.19288580286512
16,0,2,8,2,16,16,98.80753316307971
19,1,0,2,0,20,19,92.70945048584312
11,8,1,11,1,19,11,54.76477219083326
6,12,5,8,2,18,6,31.42378222148952
1,17,4,6,0,18,1,3.4882993614670568
2,17,5,11,1,19,2,6.383396934380008
16,2,1,13,2,18,16,86.16304289222967
4,3,1,14,2,7,4,44.62905953454606
16,0,5,15,0,16,16,100.0
7,4,0,3,0,11,7,65.58762998127935
0,8,3,2,0,8,0,0.0
16,4,1,9,1,20,16,81.18662192379871
1,12,5,14,0,13,1,9.060194708000834
1,6,5,15,2,7,1,10.66570530269279
5,4,2,4,2,9,5,52.892654044453536
6,1,3,4,0,7,6,88.3558687624376
4,7,4,2,0,11,4,37.401153789432044
0,9,0,11,2,9,0,10.216602448411528
0,13,4,8,1,13,0,8.098060777186557
2,9,3,3,0,11,2,22.84687888375993
5,1,3,10,0,6,5,79.52465875469424
1,7,3,4,2,8,1,9.677214983652124
4,9,4,3,0,13,4,25.7589971510871
11,5,3,4,1,16,11,70.14878674893355
5,13,5,6,2,18,5,14.073003555479271
6,0,4,15,0,6,6,97.706903615285
3,11,3,8,2,14,3,19.89498943196234
6,7,5,6,0,13,6,38.532393487996195
10,4,2,12,0,14,10,75.4172530014646
7,2,3,4,0,9,7,72.08206913482837
2,4,4,9,1,6,2,34.672046661849635
0,8,1,9,1,8,0,13.918887117445255
5,11,3,6,2,16,5,23.194971950223895
4,15,1,13,0,19,4,20.30987455391212
1,15,5,14,0,16,1,4.212699311823673
5,6,2,9,1,11,5,42.44470206006353
10,6,0,4,0,16,10,66.3012554731768
15,2,2,2,1,17,15,93.76693964178926
0,12,3,6,0,12,0,3.858190746506681
8,11,1,12,2,19,8,38.48856774563856
3,4,1,10,0,7,3,55.02638324915493
5,13,4,10,0,18,5,18.926561836068316
4,1,1,1,1,5,4,74.83685465482853
2,6,4,14,0,8,2,25.84864642195187
3,3,5,11,0,6,3,50.44696959572825
11,1,0,8,1,12,11,94.10688706356041
3,5,3,9,2,8,3,45.40067047537601
2,4,4,9,2,6,2,32.73407873650533
2,16,0,11,1,18,2,11.679758412176016
2,8,1,0,1,10,2,17.027419736378754
3,7,1,12,1,10,3,32.94164259230321
6,8,0,5,1,14,6,41.264750303891155
3,5,1,6,1,8,3,35.90471489466829
8,2,5,13,2,10,8,82.7174157648189
0,17,5,12,2,17,0,5.174604635402995
7,12,0,7,1,19,7,25.801572504788503
6,0,4,9,0,6,6,100.0
1,13,4,8,1,14,1,5.791840549469451
7,9,0,1,0,16,7,48.48808468830705
0,6,4,10,1,6,0,0.0
10,4,4,9,1,14,10,77.93383359438293
17,1,5,1,2,18,17,91.06237934202424
6,2,4,4,0,8,6,63.84835046187055
9,9,2,12,0,18,9,55.25796520335833
2,17,3,4,2,19,2,6.30859097824633
6,14,1,5,2,20,6,22.098740316282367
15,4,2,2,2,19,15,79.02763551427229
9,3,4,7,2,12,9,73.80410666984916
15,3,5,15,0,18,15,87.44885821205838
8,3,0,12,0,11,8,77.18932682634879
